"code";"x";"y";"num_regime";"hydro_regime"
"L502181001";"581349.6868";"6559703.688";"1";"P"
"L503401001";"583719.15";"6556286.792";"1";"P"
"L503401200";"580601.4688";"6557303.714";"2";"PC"
"L510018000";"571688.1";"6558891";"1";"P"
"L510181001";"579040.1209";"6558324.136";"1";"P"
"L513401001";"556597.2858";"6562907.424";"2";"PC"
"L522302001";"547191.7255";"6561287.112";"2";"PC"
"L530181001";"541744.0814";"6567027.61";"4";"PTC"
"L532301001";"545801.926";"6574387.685";"4";"PTC"
"L540181001";"540837.1633";"6578125.88";"4";"PTC"
"L541018000";"534136.7";"6601213.6";"2";"PC"
"L541181001";"536369.9574";"6593650.214";"4";"PTC"
"L541182301";"536673";"6609440";"4";"PTC"
"L551191001";"566014.4192";"6601896.673";"4";"PTC"
"L556000102";"553986.6034";"6609390.822";"4";"PTC"
"L560000100";"571441.255";"6581509.893";"4";"PTC"
"L561000100";"570320.0129";"6580871.353";"4";"PTC"
"L562301001";"566076.914";"6585409.655";"4";"PTC"
"L563030000";"555212.8";"6593569.5";"4";"PTC"
"L564000100";"560396.2539";"6583354.708";"4";"PTC"
"L565000100";"552923.1917";"6589892.667";"4";"PTC"
"L565031000";"556205.9";"6585627.7";"4";"PTC"
"L567000100";"552542.4193";"6603128.909";"4";"PTC"
"L567000301";"549837";"6598175";"4";"PTC"
"L571000100";"545672.2267";"6588782.951";"2";"PC"
"L571000200";"546352.1677";"6594174.174";"2";"PC"
"L573301001";"545722.3425";"6600866.527";"2";"PC"
"L574191001";"541255.9391";"6616491.059";"4";"PTC"
"L574192002";"537926.9636";"6624712.488";"4";"PTC"
"L580181001";"536844.5144";"6626719.892";"4";"PTC"
"L600071001";"533310.6831";"6634342.918";"2";"PC"
"L601000300";"530151.7772";"6641115.54";"2";"PC"
"L602071001";"525230.4662";"6647999.346";"2";"PC"
"L610000100";"587246.6161";"6631118.536";"4";"PTC"
"L611000100";"573304.2161";"6633352.451";"4";"PTC"
"L620201002";"534019.6945";"6647527.009";"1";"P"
"L620201201";"537183.788";"6643503.532";"1";"P"
"L621000201";"532615.7843";"6648488.614";"2";"PC"
"L621000402";"534787.1494";"6655713.969";"1";"P"
"L621020000";"525821.8";"6651582.7";"1";"P"
"L630071001";"524689.0029";"6654998.726";"4";"PTC"
"L631030000";"532296.2";"6662466.5";"4";"PTC"
"L700061001";"513672.0508";"6663982.93";"2";"PC"
"L700061002";"512800.9568";"6667387.55";"2";"PC"
"L702000101";"506018";"6674064";"1";"P"
"L710000100";"498300.405";"6661633.365";"1";"P"
"L710000200";"502184.2374";"6648838.344";"1";"P"
"L710030000";"500492.3";"6656039.3";"1";"P"
"L711000100";"496344.4047";"6658689.244";"1";"P"
"L712301001";"495737.5058";"6670226.797";"1";"P"
"L720061001";"490801.9776";"6677562.4";"2";"PC"
"L721000100";"487679.9159";"6676298.07";"1";"P"
"L721000300";"486502.8953";"6670830.929";"1";"P"
"L722006000";"478893.3";"6683037.5";"2";"PC"
"L800001020";"467516.0999";"6689245.81";"2";"PC"
"L800001030";"477863.0432";"6683764.746";"1";"P"
"L810211001";"447654.8469";"6619363.921";"4";"PTC"
"L811641001";"448773.6482";"6621752.779";"4";"PTC"
"L812211002";"451374.6808";"6622131.338";"4";"PTC"
"L812212004";"458586.3497";"6636360.519";"4";"PTC"
"L813401001";"454240.6186";"6630400.786";"4";"PTC"
"L813401002";"455061.3461";"6632991.958";"4";"PTC"
"L813402001";"456479.9145";"6635378.365";"4";"PTC"
"L814211001";"460875.1233";"6647332.696";"4";"PTC"
"L814211200";"460572.4348";"6636556.288";"1";"P"
"L820301001";"444838.5038";"6641369.651";"4";"PTC"
"L821301001";"456809.0831";"6651063.345";"4";"PTC"
"L821301100";"450055.301";"6642096.691";"4";"PTC"
"L822211001";"457342.4378";"6655155.765";"4";"PTC"
"L823211001";"453387.8078";"6660284.425";"4";"PTC"
"L830030000";"432045.6";"6654126.1";"4";"PTC"
"L830301001";"422346.4837";"6652346.254";"4";"PTC"
